iter	Passed	Remaining
0	3	3466
1	6	3379
2	9	3092
3	15	3763
4	17	3470
5	21	3597
6	34	4878
7	39	4872
8	51	5670
9	56	5576
10	67	6029
11	69	5749
12	73	5577
13	76	5380
14	80	5304
15	85	5275
16	94	5438
17	96	5269
18	100	5197
19	102	5009
20	106	4957
21	109	4871
22	111	4717
23	112	4577
24	114	4455
25	115	4335
26	117	4234
27	120	4185
28	121	4080
29	123	3981
30	124	3887
31	129	3925
32	138	4059
33	140	3989
34	141	3914
35	143	3850
36	145	3791
37	147	3740
38	150	3720
39	153	3675
40	155	3635
41	156	3578
42	158	3520
43	159	3465
44	160	3413
45	165	3423
46	166	3379
47	169	3354
48	172	3348
49	174	3306
50	175	3270
51	183	3341
52	185	3319
53	187	3286
54	189	3256
55	192	3239
56	193	3204
57	195	3179
58	197	3142
59	198	3107
60	199	3075
61	201	3042
62	202	3008
63	212	3109
64	214	3084
65	215	3053
66	217	3023
67	218	2993
68	219	2965
69	221	2938
70	222	2913
71	223	2884
72	227	2889
73	230	2878
74	231	2857
75	233	2835
76	234	2812
77	236	2791
78	237	2770
79	239	2748
80	243	2759
81	244	2739
82	245	2713
83	247	2693
84	248	2672
85	249	2651
86	251	2634
87	252	2613
88	253	2592
89	255	2584
90	257	2567
91	258	2551
92	259	2535
93	261	2519
94	262	2503
95	264	2489
96	265	2473
97	266	2455
98	267	2437
99	270	2434
100	271	2417
101	272	2401
102	273	2385
103	274	2369
104	276	2353
105	277	2339
106	278	2323
107	279	2309
108	280	2293
109	281	2279
110	282	2264
111	285	2264
112	286	2251
113	287	2237
114	288	2223
115	289	2209
116	290	2195
117	291	2182
118	292	2168
119	293	2154
120	294	2141
121	295	2127
122	296	2114
123	297	2102
124	299	2096
125	300	2086
126	301	2072
127	302	2061
128	303	2049
129	304	2038
130	305	2026
131	306	2014
132	307	2002
133	308	1991
134	309	1981
135	310	1969
136	310	1958
137	311	1946
138	312	1936
139	314	1932
140	315	1922
141	316	1910
142	317	1899
143	318	1892
144	319	1882
145	320	1872
146	321	1862
147	321	1852
148	322	1843
149	323	1833
150	324	1823
151	325	1815
152	326	1805
153	327	1797
154	329	1795
155	330	1787
156	331	1780
157	332	1772
158	333	1765
159	334	1757
160	335	1747
161	337	1743
162	337	1735
163	338	1727
164	339	1719
165	340	1711
166	341	1703
167	342	1695
168	344	1693
169	345	1687
170	346	1679
171	347	1672
172	348	1664
173	349	1657
174	349	1649
175	350	1643
176	351	1636
177	352	1628
178	353	1621
179	354	1615
180	355	1608
181	356	1601
182	357	1593
183	359	1592
184	360	1586
185	361	1579
186	361	1573
187	362	1567
188	363	1561
189	366	1562
190	368	1559
191	369	1555
192	371	1551
193	374	1556
194	376	1552
195	377	1547
196	378	1542
197	379	1537
198	380	1532
199	382	1528
200	383	1522
201	384	1517
202	385	1511
203	386	1506
204	387	1500
205	389	1499
206	390	1495
207	391	1490
208	392	1485
209	393	1480
210	394	1474
211	395	1469
212	396	1464
213	397	1459
214	398	1453
215	398	1448
216	400	1443
217	400	1438
218	401	1433
219	404	1434
220	405	1430
221	407	1428
222	409	1426
223	410	1422
224	411	1419
225	412	1414
226	413	1409
227	415	1405
228	416	1401
229	417	1396
230	418	1392
231	419	1389
232	420	1385
233	421	1380
234	422	1376
235	423	1372
236	424	1367
237	425	1363
238	426	1359
239	427	1354
240	428	1349
241	429	1345
242	430	1340
243	432	1340
244	433	1336
245	435	1333
246	436	1330
247	437	1326
248	438	1322
249	439	1318
250	440	1314
251	441	1310
252	442	1306
253	443	1302
254	444	1298
255	445	1293
256	447	1293
257	448	1289
258	449	1285
259	450	1281
260	451	1277
261	451	1273
262	453	1269
263	454	1265
264	454	1261
265	455	1257
266	456	1253
267	457	1249
268	458	1245
269	459	1241
270	459	1237
271	462	1236
272	462	1232
273	463	1228
274	464	1224
275	465	1220
276	466	1216
277	466	1212
278	467	1208
279	468	1205
280	469	1201
281	470	1197
282	471	1194
283	472	1190
284	472	1186
285	473	1182
286	474	1179
287	476	1177
288	477	1174
289	478	1171
290	479	1167
291	480	1164
292	484	1168
293	485	1165
294	486	1161
295	487	1158
296	488	1155
297	489	1153
298	490	1150
299	492	1148
300	493	1144
301	493	1141
302	494	1138
303	495	1134
304	496	1131
305	497	1127
306	498	1124
307	499	1121
308	500	1118
309	500	1114
310	501	1111
311	502	1108
312	503	1105
313	504	1101
314	505	1100
315	507	1097
316	507	1094
317	508	1090
318	509	1087
319	510	1084
320	511	1081
321	511	1077
322	512	1074
323	513	1071
324	514	1068
325	515	1065
326	516	1062
327	517	1059
328	518	1056
329	518	1053
330	519	1050
331	521	1049
332	522	1046
333	523	1043
334	524	1041
335	525	1038
336	526	1035
337	527	1032
338	528	1029
339	529	1027
340	529	1024
341	530	1021
342	531	1018
343	532	1015
344	533	1012
345	534	1009
346	536	1008
347	536	1005
348	537	1003
349	538	1000
350	539	997
351	540	994
352	541	991
353	541	988
354	542	986
355	543	983
356	544	980
357	545	977
358	546	975
359	546	972
360	547	969
361	548	966
362	550	966
363	551	963
364	552	961
365	553	958
366	554	955
367	554	953
368	555	950
369	556	947
370	557	944
371	558	942
372	559	939
373	559	937
374	560	934
375	561	931
376	562	929
377	563	926
378	564	925
379	566	923
380	566	920
381	567	918
382	568	915
383	569	913
384	570	911
385	571	908
386	572	906
387	572	903
388	573	901
389	574	898
390	575	896
391	576	893
392	576	891
393	577	888
394	578	886
395	579	883
396	580	881
397	581	879
398	582	876
399	582	874
400	583	871
401	584	869
402	585	867
403	586	864
404	587	862
405	587	860
406	588	857
407	589	855
408	590	852
409	591	850
410	592	849
411	594	848
412	595	846
413	596	844
414	597	841
415	598	839
416	599	837
417	600	835
418	601	833
419	602	831
420	602	829
421	603	826
422	604	824
423	605	822
424	606	820
425	609	821
426	610	819
427	612	817
428	613	816
429	614	814
430	615	812
431	616	810
432	617	808
433	618	806
434	619	804
435	620	802
436	621	800
437	623	799
438	624	797
439	625	795
440	626	793
441	626	791
442	627	789
